id,company_id,account_id,fecha,descripcion,comercio,rfc,tipo,deposito,retiro,saldo,es_interno,categoria
txn_2026060001,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMPRA ORDEN DE PAGO SPEI 2,457.44 33,092.50","COMPRA ORDEN DE PAGO SPEI 2,457.44 33,09",,egreso,0,2457.44,33092.50,0,spei_enviado
txn_2026060002,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMISION ORDEN DE PAGO SPEI REFERENCIA: 0020123 5.00 33,087.50",BANORTE,BNO930209CC1,egreso,0,5.00,33087.50,0,comision
txn_2026060003,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"I.V.A. ORDEN DE PAGO SPEI REFERENCIA: 0020123 0.80 33,086.70",BANORTE,BNO930209CC1,egreso,0,0.80,33086.70,0,iva_comision
txn_2026060004,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMPRA ORDEN DE PAGO SPEI 22,579.86 10,506.84","COMPRA ORDEN DE PAGO SPEI 22,579.86 10,5",,egreso,0,22579.86,10506.84,0,spei_enviado
txn_2026060005,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMISION ORDEN DE PAGO SPEI REFERENCIA: 0020123 5.00 10,501.84",BANORTE,BNO930209CC1,egreso,0,5.00,10501.84,0,comision
txn_2026060006,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"I.V.A. ORDEN DE PAGO SPEI REFERENCIA: 0020123 0.80 10,501.04",BANORTE,BNO930209CC1,egreso,0,0.80,10501.04,0,iva_comision
txn_2026060007,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMPRA ORDEN DE PAGO SPEI 2,436.00 8,065.04","COMPRA ORDEN DE PAGO SPEI 2,436.00 8,065",,egreso,0,2436.00,8065.04,0,spei_enviado
txn_2026060008,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMISION ORDEN DE PAGO SPEI REFERENCIA: 0020123 5.00 8,060.04",BANORTE,BNO930209CC1,egreso,0,5.00,8060.04,0,comision
txn_2026060009,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"I.V.A. ORDEN DE PAGO SPEI REFERENCIA: 0020123 0.80 8,059.24",BANORTE,BNO930209CC1,egreso,0,0.80,8059.24,0,iva_comision
txn_2026060010,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"MBAN01002301020079591251 SPEI RECIBIDO, BCO:0012 BBVA BANCOMER HR LIQ: 12:30:49 DEL 1,590.00 9,649.24 CLIENTE FRANCISCO J. MORALES DE LA CLABE 012389083863794026 CON RFC MEJF800101AB1 CONCEPTO: Cuenta Litros REFERENCIA: 0201230 CVE RAST: MBAN01002301020079591251",FRANCISCO J. MORALES,MEJF800101AB1,ingreso,1590.00,0,9649.24,0,spei_recibido
txn_2026060011,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMPRA ORDEN DE PAGO SPEI 0020123 =REFERENCIA CTA/CLABE: 002542351161559407, BEM 285.08 9,364.16 SPEI BCO:002 BENEF:GUADALUPE PEREZ (DATO NO VERIF POR ESTA INST), Pago PO 2051 CVE RASTREO: 8846APR1202301022069498286 RFC: SUN850309AA1 IVA: 000000000039.32 BANAMEX HORA LIQ: 12:57:19",GUADALUPE PEREZ,SUN850309AA1,egreso,0,285.08,9364.16,0,spei_enviado
txn_2026060012,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMISION ORDEN DE PAGO SPEI REFERENCIA: 0020123 5.00 9,359.16",BANORTE,BNO930209CC1,egreso,0,5.00,9359.16,0,comision
txn_2026060013,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"I.V.A. ORDEN DE PAGO SPEI REFERENCIA: 0020123 0.80 9,358.36",BANORTE,BNO930209CC1,egreso,0,0.80,9358.36,0,iva_comision
txn_2026060014,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMPRA ORDEN DE PAGO SPEI 0020123 =REFERENCIA CTA/CLABE: 044816184959310341, BEM 450.00 8,908.36 SPEI BCO:044 BENEF:ARMANDO MORALES (DATO NO VERIF POR ESTA INST), Pago PO 2054 CVE RASTREO: 8846APR1202301022069638923 RFC: GAS070423BB2 IVA: 000000000062.07 SCOTIABANK HORA LIQ: 14:04:51",ARMANDO MORALES,GAS070423BB2,egreso,0,450.00,8908.36,0,spei_enviado
txn_2026060015,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"COMISION ORDEN DE PAGO SPEI REFERENCIA: 0020123 5.00 8,903.36",BANORTE,BNO930209CC1,egreso,0,5.00,8903.36,0,comision
txn_2026060016,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"I.V.A. ORDEN DE PAGO SPEI REFERENCIA: 0020123 0.80 8,902.56",BANORTE,BNO930209CC1,egreso,0,0.80,8902.56,0,iva_comision
txn_2026060017,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"BNET01002301020031438250 SPEI RECIBIDO, BCO:0012 BBVA BANCOMER HR LIQ: 14:27:23 DEL 10,000.00 18,902.56 CLIENTE CAFE NORTENO SA DE CV DE LA CLABE 012316475255341928 CON RFC CNM160812AB1 CONCEPTO: TRASPASO INTERNO REFERENCIA: 0020123 CVE RAST: BNET01002301020031438250",CAFE NORTENO SA DE CV,CNM160812AB1,ingreso,10000.00,0,18902.56,1,traspaso_interno
txn_2026060018,company_001,acc_eje_001,2026-06-02T12:00:00-06:00,"TRASPASO A CUENTA DE TERCEROS 0000020123 IVA:00001341.44 , A LA CUENTA: 3276483503 9,725.44 9,177.12 Pago PO 2061 AL R.F.C. PEGL850309CD2",TERCERO PEGL85,PEGL850309CD2,egreso,0,9725.44,9177.12,0,traspaso_terceros
txn_2026060019,company_001,acc_eje_001,2026-06-03T12:00:00-06:00,"1844962CARGO DOMICILIACION CGO DOMICILIACION:VW Leasing LEYENDA: VOLKSWAGEN 4,852.50 4,324.62 LEASING REF SERV EMISOR:0051844962 CVE DE RASTREO:02107200021000820230102101584 REF:1844962 RFC GAS061031CC3 IVA: 0.00","VOLKSWAGEN 4,852.50 4,324.62 LEASING",GAS061031CC3,egreso,0,4852.50,4324.62,0,domiciliacion
txn_2026060020,company_001,acc_eje_001,2026-06-03T12:00:00-06:00,"TRASPASO A CUENTA DE TERCEROS 0000030123 IVA:00000240.00 , A LA CUENTA: 0564139537 1,740.00 2,584.62 Pago PO 2066 AL R.F.C. MOPA791027EF3",TERCERO MOPA79,MOPA791027EF3,egreso,0,1740.00,2584.62,0,traspaso_terceros
txn_2026060021,company_001,acc_eje_001,2026-06-04T12:00:00-06:00,"MERPAGO*MER PAGO 2 RFC:SUP810525DD4 2,472.00 112.62",MERPAGO*MER PAGO 2,SUP810525DD4,egreso,0,2472.00,112.62,0,tarjeta
txn_2026060022,company_001,acc_eje_001,2026-06-04T12:00:00-06:00,"BNET01002301040031684679 SPEI RECIBIDO, BCO:0012 BBVA BANCOMER HR LIQ: 10:37:34 DEL 5,000.00 5,112.62 CLIENTE CAFE NORTENO SA DE CV DE LA CLABE 012316475255341928 CON RFC CNM160812AB1 CONCEPTO: Traspaso interno REFERENCIA: 0401230 CVE RAST: BNET01002301040031684679",CAFE NORTENO SA DE CV,CNM160812AB1,ingreso,5000.00,0,5112.62,1,traspaso_interno
txn_2026060023,company_001,acc_eje_001,2026-06-04T12:00:00-06:00,"BNET01002301040031741317 SPEI RECIBIDO, BCO:0012 BBVA BANCOMER HR LIQ: 13:56:28 DEL 9,880.01 14,992.63 CLIENTE CONSTRUCTORA VIA NORTE SA DE CV DE LA CLABE 012287101226916697 CON RFC CVN190830M83 CONCEPTO: PAGO DE BOMBA REFERENCIA: 0040123 CVE RAST: BNET01002301040031741317",CONSTRUCTORA VIA NORTE SA DE CV,CVN190830M83,ingreso,9880.01,0,14992.63,0,spei_recibido
txn_2026060024,company_001,acc_eje_001,2026-06-04T12:00:00-06:00,"TRASPASO A CUENTA DE TERCEROS 0000040123 IVA:00000097.02 , A LA CUENTA: 8480184514 703.42 14,289.21 Pago PO 2078 AL R.F.C. MERE850922GH4",TERCERO MERE85,MERE850922GH4,egreso,0,703.42,14289.21,0,traspaso_terceros
txn_2026060025,company_001,acc_eje_001,2026-06-05T12:00:00-06:00,"BNET01002301050031857751 SPEI RECIBIDO, BCO:0012 BBVA BANCOMER HR LIQ: 11:12:47 DEL 40,000.00 54,289.21 CLIENTE CAFE NORTENO SA DE CV DE LA CLABE 012316475255341928 CON RFC CNM160812AB1 CONCEPTO: TRASPASO INTERNO REFERENCIA: 0050123 CVE RAST: BNET01002301050031857751",CAFE NORTENO SA DE CV,CNM160812AB1,ingreso,40000.00,0,54289.21,1,traspaso_interno
txn_2026060026,company_001,acc_eje_001,2026-06-05T12:00:00-06:00,"TRASPASO A CUENTA DE TERCEROS 0000050123 IVA:00002431.72 , A LA CUENTA: 6270482814 17,630.00 36,659.21 Pago PO 2077 AL R.F.C. LUCI920425IJ5",TERCERO LUCI92,LUCI920425IJ5,egreso,0,17630.00,36659.21,0,traspaso_terceros
txn_2026060027,company_001,acc_eje_001,2026-06-05T12:00:00-06:00,"COMPRA ORDEN DE PAGO SPEI 0050123 =REFERENCIA CTA/CLABE: 012893252880957015, BEM 2,192.86 34,466.35 SPEI BCO:012 BENEF:ISAAC R. LUNA (DATO NO VERIF POR ESTA INST), Pago PO 2084 CVE RASTREO: 8846APR1202301052074823840 RFC: MER210503EE5 IVA: 000000000302.46 BBVA BANCOMER HORA LIQ: 16:56:20",ISAAC R. LUNA,MER210503EE5,egreso,0,2192.86,34466.35,0,spei_enviado
txn_2026060028,company_001,acc_eje_001,2026-06-05T12:00:00-06:00,"COMISION ORDEN DE PAGO SPEI REFERENCIA: 0050123 5.00 34,461.35",BANORTE,BNO930209CC1,egreso,0,5.00,34461.35,0,comision
txn_2026060029,company_001,acc_eje_001,2026-06-05T12:00:00-06:00,"I.V.A. ORDEN DE PAGO SPEI REFERENCIA: 0050123 0.80 34,460.55",BANORTE,BNO930209CC1,egreso,0,0.80,34460.55,0,iva_comision
txn_2026060030,company_001,acc_eje_001,2026-06-06T12:00:00-06:00,"PAGO REFERENCIADO 546459400623 Impuesto Deposito Referenciado 3,002.00 31,458.55",PAGO DE IMPUESTOS,,egreso,0,3002.00,31458.55,0,impuestos
txn_2026060031,company_001,acc_eje_001,2026-06-06T12:00:00-06:00,"PAGO REFERENCIADO 546459500623 Impuesto Deposito Referenciado 2,817.00 28,641.55",PAGO DE IMPUESTOS,,egreso,0,2817.00,28641.55,0,impuestos
txn_2026060032,company_001,acc_eje_001,2026-06-06T12:00:00-06:00,"PAGO REFERENCIADO 546459600623 Impuesto Deposito Referenciado 5,428.00 23,213.55",PAGO DE IMPUESTOS,,egreso,0,5428.00,23213.55,0,impuestos
